ID,Nombre,Tipo,Propietario,Región,Comuna,Nemotécnico,Coordinado
2,TER MAULE,Termoeléctricas,ELEKTRA GENERACIÓN S.A.,Maule,Constitución,CE06G0035,ELEKTRA GENERACIÓN S.A.
3,TER CHILOE,Termoeléctricas,ELEKTRA GENERACIÓN S.A.,Los Lagos,Quellón,CE05G0035,ELEKTRA GENERACIÓN S.A.
4,TER CONSTITUCION,Termoeléctricas,ELEKTRA GENERACIÓN S.A.,Maule,Constitución,CE01G0035,ELEKTRA GENERACIÓN S.A.
5,HP MARIPOSAS,Hidroeléctricas,HIDROELÉCTRICA RÍO LIRCAY S.A.,Maule,San Clemente,CE01G0071,HIDROELÉCTRICA RÍO LIRCAY S.A.
6,HP EL RINCON,Hidroeléctricas,ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO,Metropolitana,La Florida,CE05G0012,ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO
7,PMGD HP EYZAGUIRRE,Hidroeléctricas,ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO,Metropolitana,Puente Alto,CE04G0012,ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO
8,TER CONCON,Termoeléctricas,TECNORED S.A.,Valparaíso,Concón,CE01G0031,TECNORED S.A.
9,TER EL TOTORAL,Termoeléctricas,TECNORED S.A.,Valparaíso,El Quisco,CE07G0031,TECNORED S.A.
10,TER LAS VEGAS,Termoeléctricas,TECNORED S.A.,Valparaíso,Llay Llay,CE02G0031,TECNORED S.A.
11,TER LINARES NORTE,Termoeléctricas,TECNORED S.A.,Maule,Linares,CE09G0031,CGE COMERCIALIZADORA SPA
12,TER PLACILLA,Termoeléctricas,TECNORED S.A.,Valparaíso,Valparaíso,CE06G0031,ENERQUINTA S.A.
14,TER SAN GREGORIO,Termoeléctricas,TECNORED S.A.,Ñuble,Ñiquén,CE08G0031,TECNORED S.A.
15,PMGD HP AUXILIAR DEL MAIPO,Hidroeléctricas,CARBOMET ENERGÍA S.A.,Metropolitana,San Bernardo,CE01G0022,CARBOMET ENERGÍA S.A.
16,PMGD HP LOS BAJOS,Hidroeléctricas,CARBOMET ENERGÍA S.A.,Metropolitana,Puente Alto,CE02G0022,CARBOMET ENERGÍA S.A.
17,PMGD HP LOS MORROS,Hidroeléctricas,CIA MOLINERA VILLARRICA LTDA,Metropolitana,San Bernardo,CE01G0023,CIA MOLINERA VILLARRICA LTDA
19,PE LEBU,Eólicas,PARQUE EÓLICO LEBU-TORO SPA,Biobío,Lebu,CE01G0053,PARQUE EÓLICO LEBU-TORO SPA
20,PMGD HP DONGUIL,Hidroeléctricas,DONGUIL ENERGÍA S.A.,Araucanía,Gorbea,CE01G0080,ENERGY ASSET SPA
21,PMGD HP EL MANZANO (MELIPEUCO),Hidroeléctricas,HIDROELÉCTRICA EL MANZANO S.A.,Araucanía,Melipeuco,CE01G0044,HIDROELÉCTRICA EL MANZANO S.A.
22,PMGD TER MONTE PATRIA,Termoeléctricas,ELEKTRA GENERACIÓN S.A.,Coquimbo,Monte Patria,CE04G0035,ELEKTRA GENERACIÓN S.A.
23,PMGD TER PUNITAQUI,Termoeléctricas,ELEKTRA GENERACIÓN S.A.,Coquimbo,Punitaqui,CE03G0035,ELEKTRA GENERACIÓN S.A.
24,PMGD HP DOÑA HILDA,Hidroeléctricas,GANADERA Y FORESTAL CARRAN LIMITADA,Los Ríos,Lago Ranco,CE01G0644,SONNEDIX ENERGY CHILE SPA
25,PMGD HP PEHUI,Hidroeléctricas,GENERADORA ELÉCTRICA PEHUI LTDA,Los Ríos,Río Bueno,CE01G0137,GENERADORA ELÉCTRICA PEHUI LTDA
27,HP JUNCALITO,Hidroeléctricas,COLBÚN S.A.,Valparaíso,Los Andes,CE17G0004,COLBÚN S.A.
28,PMGD HP TRUFULTRUFUL,Hidroeléctricas,ENERBOSCH S.A.,Araucanía,Melipeuco,CE04G0054,ENERBOSCH S.A.
29,PMGD HP DONGO,Hidroeléctricas,DONGO ENERGÍA SPA,Los Lagos,Chonchi,CE01G1002,DONGO ENERGÍA SPA
30,PMGD HP MALLARAUCO,Hidroeléctricas,HIDROELÉCTRICA MALLARAUCO S.A.,Metropolitana,Melipilla,CE01G0083,HIDROELÉCTRICA MALLARAUCO S.A.
31,PMGD HP RIO TRUENO,Hidroeléctricas,HIDROELÉCTRICA TRUENO S.A.,Araucanía,Vilcún,CE01G0063,HIDROELÉCTRICA TRUENO S.A.
32,PMGD HP LA PALOMA,Hidroeléctricas,HIDROPALOMA S.A.,Coquimbo,Ovalle,CE01G0060,HIDROPALOMA S.A.
35,PMGD HP EL TARTARO,Hidroeléctricas,WENKE Y CIA LTDA,Valparaíso,Putaendo,CE01G0109,ON-GROUP S.A.
36,PMGD TER ORAFTI,Termoeléctricas,ORAFTI CHILE S.A.,Ñuble,Pemuco,CE01G0056,ORAFTI CHILE S.A.
37,PMGD HP PUCLARO,Hidroeléctricas,HIDROELECTRICA PUCLARO S.A.,Coquimbo,Vicuña,CE01G0040,HIDROELECTRICA PUCLARO S.A.
39,PMGD TER CAÑETE,Termoeléctricas,SAGESA S.A.,Biobío,Cañete,CE02G0018,SOCIEDAD GENERADORA AUSTRAL S.A.
40,PMGD TER CHUFKEN,Termoeléctricas,SAGESA S.A.,Araucanía,Traiguén,CE03G0018,SOCIEDAD GENERADORA AUSTRAL S.A.
42,PMGD TER CURACAUTIN,Termoeléctricas,SAGESA S.A.,Araucanía,Curacautín,CE06G0018,SOCIEDAD GENERADORA AUSTRAL S.A.
43,PMGD TER LONQUIMAY,Termoeléctricas,SAGESA S.A.,Araucanía,Lonquimay,CE12G0018,SOCIEDAD GENERADORA AUSTRAL S.A.
47,PMGD TER TIRUA,Termoeléctricas,SAGESA S.A.,Biobío,Tirúa,CE13G0018,SOCIEDAD GENERADORA AUSTRAL S.A.
52,PMGD HP LOS CORRALES,Hidroeléctricas,LÁGRIMAS DEL SUR SPA,Los Ríos,Río Bueno,CE02G0125,LÁGRIMAS DEL SUR SPA
53,PMGD TER LOUSIANA PACIFIC,Termoeléctricas,SAGESA S.A.,Los Ríos,Panguipulli,CE32G0018,SOCIEDAD GENERADORA AUSTRAL S.A.
54,PMGD TER LOUSIANA PACIFIC II,Termoeléctricas,SAGESA S.A.,Araucanía,Lautaro,CE23G0018,SOCIEDAD GENERADORA AUSTRAL S.A.
55,PMGD TER MULTIEXPORT,Termoeléctricas,SAGESA S.A.,Los Lagos,Puerto Montt,CE24G0018,SOCIEDAD GENERADORA AUSTRAL S.A.
56,PMGD TER MULTIEXPORT II,Termoeléctricas,SAGESA S.A.,Los Lagos,Puerto Montt,CE25G0018,SOCIEDAD GENERADORA AUSTRAL S.A.
58,PMGD TER SALMOFOOD,Termoeléctricas,SALMOFOOD S.A.,Los Lagos,Castro,CE06G0124,SOCIEDAD GENERADORA AUSTRAL S.A.
65,PMGD TER CASABLANCA,Termoeléctricas,TECNORED S.A.,Valparaíso,Casablanca,CE04G0031,FENSTER ENERGY TRADING SPA
66,PMGD TER CASABLANCA II,Termoeléctricas,TECNORED S.A.,Valparaíso,Casablanca,CE11G0031,TECNORED S.A.
67,PMGD TER CURAUMA,Termoeléctricas,TECNORED S.A.,Valparaíso,Valparaíso,CE03G0031,TECNORED S.A.
68,PMGD TER TAPIHUE,Termoeléctricas,TECNORED S.A.,Valparaíso,Casablanca,CE10G0031,TECNORED S.A.
69,HP ALFALFAL,Hidroeléctricas,AES ANDES S.A.,Metropolitana,San José de Maipo,CE01G0010,AES ANDES S.A.
72,TER LOS VIENTOS,Termoeléctricas,GENERADORA METROPOLITANA SPA,Valparaíso,Llay Llay,CE07G0434,GM HOLDINGS S.A.
73,HP MAITENES,Hidroeléctricas,AES ANDES S.A.,Metropolitana,San José de Maipo,CE04G0010,AES ANDES S.A.
74,HP QUELTEHUES,Hidroeléctricas,AES ANDES S.A.,Metropolitana,San José de Maipo,CE05G0010,AES ANDES S.A.
75,TER SANTA LIDIA,Termoeléctricas,GENERADORA METROPOLITANA SPA,Biobío,Cabrero,CE08G0434,GM HOLDINGS S.A.
77,HP VOLCAN,Hidroeléctricas,AES ANDES S.A.,Metropolitana,San José de Maipo,CE02G0010,AES ANDES S.A.
78,TER ANTILHUE,Termoeléctricas,GENERADORA ANTILHUE SPA,Los Ríos,Valdivia,CE22G0003,GENERADORA ANTILHUE SPA
79,TER HORCONES,Termoeléctricas,ARAUCO BIOENERGÍA SPA,Biobío,Arauco,CE01G0002,ARAUCO BIOENERGÍA SPA
80,TER NUEVA ALDEA II,Termoeléctricas,ARAUCO BIOENERGÍA SPA,Ñuble,Ránquil,CE02G0002,ARAUCO BIOENERGÍA SPA
81,TER PUNTA COLORADA,Termoeléctricas,COMPAÑÍA BARRICK CHILE GENERACIÓN SPA,Coquimbo,La Higuera,CE02G0062,COMPAÑÍA BARRICK CHILE GENERACIÓN SPA
82,TER YUNGAY,Termoeléctricas,CENTRAL YUNGAY S.A.,Biobío,Cabrero,CE01G0598,CENTRAL YUNGAY S.A.
83,PE CANELA II,Eólicas,ENEL GENERACIÓN CHILE S.A.,Coquimbo,Canela,CE25G0021,ENEL GENERACIÓN CHILE S.A.
84,TER ARAUCO,Termoeléctricas,CELULOSA ARAUCO Y CONSTITUCIÓN S.A.,Biobío,Arauco,CE07L0089,ARAUCO BIOENERGÍA SPA
86,TER LICANTEN,Termoeléctricas,CELULOSA ARAUCO Y CONSTITUCIÓN S.A.,Maule,Licantén,CE04L0089,ARAUCO BIOENERGÍA SPA
88,TER VALDIVIA,Termoeléctricas,CELULOSA ARAUCO Y CONSTITUCIÓN S.A.,Los Ríos,Mariquina,CE05L0089,ARAUCO BIOENERGÍA SPA
89,TER CANDELARIA,Termoeléctricas,COLBÚN S.A.,OHiggins,Mostazal,CE02G0004,COLBÚN S.A.
90,HE CANUTILLAR,Hidroeléctricas,COLBÚN S.A.,Los Lagos,Cochamó,CE13G0004,COLBÚN S.A.
91,HP CHIBURGO,Hidroeléctricas,COLBÚN S.A.,Maule,Colbún,CE10G0004,COLBÚN S.A.
92,HE COLBUN,Hidroeléctricas,COLBÚN S.A.,Maule,Colbún,CE01G0004,COLBÚN S.A.
93,TER LOS PINOS,Termoeléctricas,COLBÚN S.A.,Biobío,Cabrero,CE11G0004,COLBÚN S.A.
94,HE MACHICURA,Hidroeléctricas,COLBÚN S.A.,Maule,Colbún,CE03G0004,COLBÚN S.A.
99,TER NEHUENCO 9B,Termoeléctricas,COLBÚN S.A.,Valparaíso,Quillota,CE06G0004,COLBÚN S.A.
100,HP QUILLECO,Hidroeléctricas,COLBÚN S.A.,Biobío,Quilleco,CE09G0004,COLBÚN S.A.
101,HP RUCUE,Hidroeléctricas,COLBÚN S.A.,Biobío,Quilleco,CE07G0004,COLBÚN S.A.
102,HP SAN CLEMENTE,Hidroeléctricas,COLBÚN S.A.,Maule,San Clemente,CE12G0004,COLBÚN S.A.
103,HP SAN IGNACIO,Hidroeléctricas,COLBÚN S.A.,Maule,Yerbas Buenas,CE08G0004,COLBÚN S.A.
104,TER SANTA MARIA,Termoeléctricas,COLBÚN S.A.,Biobío,Coronel,CE14G0004,COLBÚN S.A.
106,HP CAPULLO,Hidroeléctricas,EMPRESA ELÉCTRICA CAPULLO S.A.,Los Lagos,Puyehue,CE01G0005,EMPRESA ELÉCTRICA CAPULLO S.A.
107,HP LICAN,Hidroeléctricas,LICÁN SPA,Los Ríos,Río Bueno,CE01G0082,AELA GENERACIÓN S.A.
108,HP PULLINQUE,Hidroeléctricas,ENEL GREEN POWER CHILE S.A.,Los Ríos,Panguipulli,CE10G0292,ENEL GREEN POWER CHILE S.A.
109,HP PILMAIQUEN,Hidroeléctricas,ENEL GREEN POWER CHILE S.A.,Los Ríos,Río Bueno,CE11G0292,ENEL GREEN POWER CHILE S.A.
110,TER CENIZAS,Termoeléctricas,ELÉCTRICA CENIZAS S.A.,Atacama,Copiapó,CE01G0039,IMELSA ENERGÍA SPA
111,HP PUNTILLA,Hidroeléctricas,ELÉCTRICA PUNTILLA S.A.,Metropolitana,Pirque,CE01G0019,ELÉCTRICA PUNTILLA S.A.
112,TER NUEVA VENTANAS,Termoeléctricas,EMPRESA ELÉCTRICA VENTANAS SPA,Valparaíso,Puchuncaví,CE01G0049,EMPRESA ELÉCTRICA VENTANAS SPA
113,TER EMELDA,Termoeléctricas,EMPRESA ELÉCTRICA DIEGO DE ALMAGRO SPA,Atacama,Diego de Almagro,CE01G0061,EMPRESA ELÉCTRICA DIEGO DE ALMAGRO SPA
114,HP CARENA,Hidroeléctricas,NUEVA CARENA SPA,Metropolitana,Curacavi,CE10G1040,NUEVA CARENA SPA
115,HP ABANICO,Hidroeléctricas,ENEL GENERACIÓN CHILE S.A.,Biobío,Antuco,CE01G0021,ENEL GENERACIÓN CHILE S.A.
116,HE ANTUCO,Hidroeléctricas,ENEL GENERACIÓN CHILE S.A.,Biobío,Tucapel,CE02G0021,ENEL GENERACIÓN CHILE S.A.
118,PE CANELA,Eólicas,ENEL GENERACIÓN CHILE S.A.,Coquimbo,Canela,CE20G0021,ENEL GENERACIÓN CHILE S.A.
119,HE CIPRESES,Hidroeléctricas,ENEL GENERACIÓN CHILE S.A.,Maule,San Clemente,CE04G0021,ENEL GENERACIÓN CHILE S.A.
120,TER DIEGO DE ALMAGRO,Termoeléctricas,ELÉCTRICA MOKA SPA,Atacama,Diego de Almagro,CE05G0477,ELÉCTRICA MOKA SPA
121,HE EL TORO,Hidroeléctricas,ENEL GENERACIÓN CHILE S.A.,Biobío,Antuco,CE07G0021,ENEL GENERACIÓN CHILE S.A.
122,TER HUASCO,Termoeléctricas,GUACOLDA ENERGÍA SPA,Atacama,Huasco,CE08G0011,GUACOLDA ENERGÍA SPA
123,HP ISLA,Hidroeléctricas,ENEL GENERACIÓN CHILE S.A.,Maule,San Clemente,CE09G0021,ENEL GENERACIÓN CHILE S.A.
124,HP LOS MOLLES,Hidroeléctricas,ENEL GENERACIÓN CHILE S.A.,Coquimbo,Monte Patria,CE10G0021,ENEL GENERACIÓN CHILE S.A.
125,HP PALMUCHO,Hidroeléctricas,ENEL GENERACIÓN CHILE S.A.,Biobío,Alto Biobío,CE19G0021,ENEL GENERACIÓN CHILE S.A.
