ID,Nombre,Código,Nemotécnico,Número,Propietario,Tiene SCADA,Tiene Equipos Com,Tiene Pararrayos
199,S/E CENTRAL ALFALFAL,SE001,SE001G0010,1,AES ANDES S.A.,Sí,Sí,Sí
200,S/E CENTRAL LAGUNA VERDE,SE002,SE002G0010,2,AES ANDES S.A.,Sí,Sí,Sí
201,S/E CENTRAL MAITENES,SE004,SE004G0010,4,AES ANDES S.A.,Sí,Sí,Sí
203,S/E CENTRAL QUELTEHUES,SE006,SE006G0010,6,AES ANDES S.A.,Sí,Sí,Sí
204,S/E SAN PEDRO (CTNG),SE001,SE001T0048,1,COMPAÑÍA TRANSMISORA DEL NORTE GRANDE S.A.,Sí,Sí,Sí
205,S/E CENTRAL SANTA LIDIA,SE011,SE011G0434,11,GENERADORA METROPOLITANA SPA,Sí,Sí,Sí
206,S/E TORQUEMADA,SE002,SE002T0048,2,COMPAÑÍA TRANSMISORA DEL NORTE GRANDE S.A.,Sí,Sí,Sí
207,S/E VENTANAS,SE008,SE008G0049,8,EMPRESA ELÉCTRICA VENTANAS SPA,Sí,Sí,Sí
209,S/E CENTRAL HORCONES,SE001,SE001G0002,1,ARAUCO BIOENERGÍA SPA,Sí,Sí,Sí
210,S/E CENTRAL PUNTA COLORADA,SE001,SE001G0062,1,COMPAÑÍA BARRICK CHILE GENERACIÓN SPA,Sí,Sí,Sí
211,S/E YUNGAY,SE001,SE001G0598,1,CENTRAL YUNGAY S.A.,Sí,Sí,Sí
212,S/E CENTRAL CARDONES,SE001,SE001G0047,1,CENTRAL CARDONES S.A.,No,No,No
213,S/E PLANTA CONSTITUCION,SE001,SE001L0089,1,CELULOSA ARAUCO Y CONSTITUCIÓN S.A.,No,Sí,Sí
214,S/E PLANTA ARAUCO,SE002,SE002L0089,2,CELULOSA ARAUCO Y CONSTITUCIÓN S.A.,No,Sí,Sí
215,S/E PLANTA VALDIVIA,SE003,SE003L0089,3,CELULOSA ARAUCO Y CONSTITUCIÓN S.A.,No,Sí,Sí
216,S/E NUEVA ALDEA,SE004,SE004L0089,4,CELULOSA ARAUCO Y CONSTITUCIÓN S.A.,No,Sí,Sí
218,S/E CENTRAL LICANTEN,SE006,SE006L0089,6,CELULOSA ARAUCO Y CONSTITUCIÓN S.A.,No,Sí,Sí
219,S/E CENTRAL ANTILHUE,SE011,SE011G0003,11,GENERADORA ANTILHUE SPA,No,Sí,Sí
220,S/E CENTRAL CANUTILLAR,SE008,SE008G0004,8,COLBÚN S.A.,No,Sí,Sí
